timestamp,epoch,step,mode,scope,q,initial_lr,current_lr,batch_size,gradient_accumulation_steps,effective_batch_size,optimizer,bp_interval,loss,grad_norm
2025-11-12 00:40:04,1,10,Instruct,full,8,0.001,3.0000000000000004e-05,4,1,4,mudamw,1,10.853236198425293,133.98456997470737
2025-11-12 00:40:26,1,20,Instruct,full,8,0.001,6.333333333333333e-05,4,1,4,mudamw,1,10.819554328918457,112.5984114739532
2025-11-12 00:40:47,1,30,Instruct,full,8,0.001,9.666666666666667e-05,4,1,4,mudamw,1,10.764314651489258,80.35704660171561
2025-11-12 00:41:06,1,40,Instruct,full,8,0.001,0.00013,4,1,4,mudamw,1,10.71377944946289,68.66480561785393
2025-11-12 00:41:28,1,50,Instruct,full,8,0.001,0.00016333333333333334,4,1,4,mudamw,1,10.602004051208496,32.416602735439575
2025-11-12 00:41:50,1,60,Instruct,full,8,0.001,0.00019666666666666669,4,1,4,mudamw,1,10.539983749389648,24.270321606175123
2025-11-12 00:42:14,1,70,Instruct,full,8,0.001,0.00023,4,1,4,mudamw,1,10.535143852233887,18.318594713724845
2025-11-12 00:42:37,1,80,Instruct,full,8,0.001,0.00026333333333333336,4,1,4,mudamw,1,10.482748985290527,15.795558589112405
2025-11-12 00:42:58,1,90,Instruct,full,8,0.001,0.00029666666666666665,4,1,4,mudamw,1,10.44197940826416,14.314063673249166
2025-11-12 00:43:20,1,100,Instruct,full,8,0.001,0.00033,4,1,4,mudamw,1,10.302781105041504,8.918592684372268
2025-11-12 00:43:44,1,110,Instruct,full,8,0.001,0.00036333333333333335,4,1,4,mudamw,1,10.3132905960083,9.045685395086068
2025-11-12 00:44:07,1,120,Instruct,full,8,0.001,0.0003966666666666667,4,1,4,mudamw,1,10.231574058532715,7.528515953378505
2025-11-12 00:44:22,1,130,Instruct,full,8,0.001,0.00043,4,1,4,mudamw,1,10.180834770202637,7.023080064856494
2025-11-12 00:44:41,1,140,Instruct,full,8,0.001,0.0004633333333333334,4,1,4,mudamw,1,10.02766227722168,7.420832507234145
2025-11-12 00:45:03,1,150,Instruct,full,8,0.001,0.0004966666666666666,4,1,4,mudamw,1,9.942058563232422,6.51946770808111
2025-11-12 00:45:26,1,160,Instruct,full,8,0.001,0.00053,4,1,4,mudamw,1,9.783514976501465,7.865398433782306
2025-11-12 00:45:48,1,170,Instruct,full,8,0.001,0.0005633333333333333,4,1,4,mudamw,1,9.687844276428223,8.639691305448975
2025-11-12 00:46:09,1,180,Instruct,full,8,0.001,0.0005966666666666667,4,1,4,mudamw,1,9.614819526672363,8.319756797966175
2025-11-12 00:46:34,1,190,Instruct,full,8,0.001,0.00063,4,1,4,mudamw,1,9.411381721496582,11.459535539919937
2025-11-12 00:46:57,1,200,Instruct,full,8,0.001,0.0006633333333333334,4,1,4,mudamw,1,9.206127166748047,7.85325440538638
2025-11-12 00:47:20,1,210,Instruct,full,8,0.001,0.0006966666666666666,4,1,4,mudamw,1,8.831533432006836,4.812615575716478
2025-11-12 00:47:40,1,220,Instruct,full,8,0.001,0.00073,4,1,4,mudamw,1,8.966879844665527,2.8834680264170025
2025-11-12 00:48:00,1,230,Instruct,full,8,0.001,0.0007633333333333333,4,1,4,mudamw,1,8.842656135559082,5.08670721744732
2025-11-12 00:48:22,1,240,Instruct,full,8,0.001,0.0007966666666666668,4,1,4,mudamw,1,8.560588836669922,1.1730200080598683
2025-11-12 00:48:46,1,250,Instruct,full,8,0.001,0.00083,4,1,4,mudamw,1,8.255438804626465,2.926407368097252
2025-11-12 00:49:09,1,260,Instruct,full,8,0.001,0.0008633333333333334,4,1,4,mudamw,1,8.423473358154297,2.516452685541701
2025-11-12 00:49:31,1,270,Instruct,full,8,0.001,0.0008966666666666667,4,1,4,mudamw,1,8.391164779663086,1.649253307142015
2025-11-12 00:49:54,1,280,Instruct,full,8,0.001,0.00093,4,1,4,mudamw,1,8.48705768585205,0.8160197012475918
2025-11-12 00:50:17,1,290,Instruct,full,8,0.001,0.0009633333333333333,4,1,4,mudamw,1,7.877693176269531,2.5323439052992316
2025-11-12 00:50:40,1,300,Instruct,full,8,0.001,0.0009966666666666665,4,1,4,mudamw,1,8.037252426147461,0.8584582183801521
2025-11-12 00:51:01,1,310,Instruct,full,8,0.001,0.0009999999917872876,4,1,4,mudamw,1,7.885357856750488,0.9218568684431285
2025-11-12 00:51:20,1,320,Instruct,full,8,0.001,0.0009999999633976654,4,1,4,mudamw,1,7.7989044189453125,3.451436300364235
2025-11-12 00:51:44,1,330,Instruct,full,8,0.001,0.0009999999147297428,4,1,4,mudamw,1,8.003067016601562,3.045392297497595
2025-11-12 00:52:07,1,340,Instruct,full,8,0.001,0.0009999998457835215,4,1,4,mudamw,1,7.740349292755127,3.155893632075374
2025-11-12 00:52:28,1,350,Instruct,full,8,0.001,0.0009999997565590048,4,1,4,mudamw,1,7.745304107666016,1.0093556665381025
2025-11-12 00:52:51,1,360,Instruct,full,8,0.001,0.000999999647056196,4,1,4,mudamw,1,7.878849983215332,2.365854828446445
2025-11-12 00:53:13,1,370,Instruct,full,8,0.001,0.0009999995172750998,4,1,4,mudamw,1,7.655666351318359,3.318270456573569
2025-11-12 00:53:37,1,380,Instruct,full,8,0.001,0.000999999367215721,4,1,4,mudamw,1,7.619508266448975,8.959041589529582
2025-11-12 00:54:00,1,390,Instruct,full,8,0.001,0.0009999991968780663,4,1,4,mudamw,1,7.4950642585754395,1.2271873106563305
2025-11-12 00:54:21,1,400,Instruct,full,8,0.001,0.0009999990062621422,4,1,4,mudamw,1,7.565090656280518,1.2595504494185494
2025-11-12 00:54:41,1,410,Instruct,full,8,0.001,0.0009999987953679564,4,1,4,mudamw,1,7.845948696136475,1.5864900825553492
2025-11-12 00:55:02,1,420,Instruct,full,8,0.001,0.0009999985641955178,4,1,4,mudamw,1,7.448512554168701,1.4602187806781062
2025-11-12 00:55:26,1,430,Instruct,full,8,0.001,0.0009999983127448354,4,1,4,mudamw,1,7.849492073059082,2.411959209921771
2025-11-12 00:55:46,1,440,Instruct,full,8,0.001,0.0009999980410159198,4,1,4,mudamw,1,7.378992557525635,0.8593288369756792
2025-11-12 00:56:09,1,450,Instruct,full,8,0.001,0.0009999977490087817,4,1,4,mudamw,1,7.660933494567871,0.6254192394127919
2025-11-12 00:56:32,1,460,Instruct,full,8,0.001,0.0009999974367234333,4,1,4,mudamw,1,7.583503246307373,2.39528834404903
2025-11-12 00:56:56,1,470,Instruct,full,8,0.001,0.0009999971041598867,4,1,4,mudamw,1,7.4196977615356445,0.6324565552950276
2025-11-12 00:57:17,1,480,Instruct,full,8,0.001,0.0009999967513181563,4,1,4,mudamw,1,7.333073139190674,1.0752289083788
2025-11-12 00:57:38,1,490,Instruct,full,8,0.001,0.0009999963781982557,4,1,4,mudamw,1,7.563317775726318,0.8525906287163119
2025-11-12 00:58:00,1,500,Instruct,full,8,0.001,0.0009999959848002,4,1,4,mudamw,1,7.326339244842529,1.5589751632792377
2025-11-12 00:58:21,1,510,Instruct,full,8,0.001,0.0009999955711240056,4,1,4,mudamw,1,7.668431758880615,1.3114760737740787
2025-11-12 00:58:43,1,520,Instruct,full,8,0.001,0.000999995137169689,4,1,4,mudamw,1,7.6153693199157715,0.6445056240347465
2025-11-12 00:59:06,1,530,Instruct,full,8,0.001,0.000999994682937268,4,1,4,mudamw,1,7.0345869064331055,1.2044250265762335
2025-11-12 00:59:29,1,540,Instruct,full,8,0.001,0.000999994208426761,4,1,4,mudamw,1,7.403792858123779,0.9779528502272115
2025-11-12 00:59:52,1,550,Instruct,full,8,0.001,0.0009999937136381872,4,1,4,mudamw,1,7.138084411621094,0.6382950520647164
2025-11-12 01:00:15,1,560,Instruct,full,8,0.001,0.0009999931985715668,4,1,4,mudamw,1,7.254112243652344,1.1605897980280864
2025-11-12 01:00:36,1,570,Instruct,full,8,0.001,0.0009999926632269205,4,1,4,mudamw,1,7.146805286407471,2.6447559893423787
2025-11-12 01:00:59,1,580,Instruct,full,8,0.001,0.0009999921076042702,4,1,4,mudamw,1,7.884480953216553,0.8169018331604382
2025-11-12 01:01:22,1,590,Instruct,full,8,0.001,0.0009999915317036386,4,1,4,mudamw,1,6.9842963218688965,1.0618875262374055
2025-11-12 01:01:41,1,600,Instruct,full,8,0.001,0.0009999909355250486,4,1,4,mudamw,1,7.228532791137695,0.46663509661606417
2025-11-12 01:02:02,1,610,Instruct,full,8,0.001,0.000999990319068525,4,1,4,mudamw,1,7.011539459228516,0.8537949948633127
2025-11-12 01:02:25,1,620,Instruct,full,8,0.001,0.0009999896823340922,4,1,4,mudamw,1,7.455795764923096,1.2731997411941762
2025-11-12 01:02:48,1,630,Instruct,full,8,0.001,0.0009999890253217767,4,1,4,mudamw,1,7.327909469604492,1.1761913516504698
